日付,利用者ID,名前,シフト,出勤,遅刻,出勤時報告,退勤,退勤時報告
2024-09-05,1,田中a,,OK,,おはようございます。,OK,お疲れ様です。,
2024-04-30,1,田中a,出勤,,,,,,
2024-04-29,1,田中a,出勤,,,,,,
2024-04-28,1,田中a,確休,,,,,,
2024-04-27,1,田中a,確休,,,,,,
2024-04-26,1,田中a,出勤,,,,,,
2024-04-25,1,田中a,出勤,,,,,,
2024-04-24,1,田中a,出勤,,,,,,
2024-04-23,1,田中a,出勤,,,,,,
2024-04-22,1,田中a,出勤,,,,,,
2024-04-21,1,田中a,確休,,,,,,
2024-04-20,1,田中a,確休,,,,,,
2024-04-19,1,田中a,出勤,,,,,,
2024-04-18,1,田中a,出勤,OK,13:47:24,おはようございます。,OK,お疲れ様です。,
2024-04-17,1,田中a,出勤,OK,14:44:08,おはようございます,OK,お疲れ様です。,
2024-04-16,1,田中a,出勤,,,,,,
2024-04-15,1,田中a,出勤,,,,,,
2024-04-14,1,田中a,確休,,,,,,
2024-04-13,1,田中a,確休,,,,,,
2024-04-12,1,田中a,出勤,,,,,,
2024-04-11,1,田中a,出勤,,,,,,
2024-04-10,1,田中a,出勤,,,,,,
2024-04-09,1,田中a,出勤,,,,,,
2024-04-08,1,田中a,出勤,,,,,,
2024-04-07,1,田中a,確休,,,,,,
2024-04-06,1,田中a,確休,,,,,,
2024-04-05,1,田中a,出勤,,,,,,
2024-04-04,1,田中a,出勤,,,,,,
2024-04-03,1,田中a,出勤,,,,,,
2024-04-02,1,田中a,出勤,,,,,,
2024-04-01,1,田中a,出勤,,,,,,
2023-10-31,2,鈴木,在宅,,,,,,
2023-10-31,1,田中a,在宅,,,,,,
2023-10-30,2,鈴木,在宅,,,,,,
2023-10-30,1,田中a,在宅,,,,,,
2023-10-29,2,鈴木,確休,,,,,,
2023-10-29,1,田中a,確休,,,,,,
2023-10-28,2,鈴木,確休,,,,,,
2023-10-28,1,田中a,確休,,,,,,
2023-10-27,2,鈴木,在宅,,,,,,
2023-10-27,1,田中a,在宅,,,,,,
2023-10-26,2,鈴木,在宅,,,,,,
2023-10-26,1,田中a,在宅,,,,,,
2023-10-25,2,鈴木,在宅,,,,,,
2023-10-25,1,田中a,在宅,,,,,,
2023-10-24,2,鈴木,在宅,,,,,,
2023-10-24,1,田中a,在宅,,,,,,
2023-10-23,2,鈴木,在宅,,,,,,
2023-10-23,1,田中a,在宅,,,,,,
2023-10-22,2,鈴木,確休,,,,,,
2023-10-22,1,田中a,確休,,,,,,
2023-10-21,2,鈴木,確休,,,,,,
2023-10-21,1,田中a,確休,,,,,,
2023-10-20,2,鈴木,在宅,,,,,,
2023-10-20,1,田中a,在宅,,,,,,
2023-10-19,2,鈴木,在宅,,,,,,
2023-10-19,1,田中a,在宅,,,,,,
2023-10-18,2,鈴木,在宅,,,,,,
2023-10-18,1,田中a,在宅,,,,,,
2023-10-17,2,鈴木,在宅,,,,,,
2023-10-17,1,田中a,在宅,,,,,,
2023-10-16,2,鈴木,在宅,,,,,,
2023-10-16,1,田中a,在宅,,,,,,
2023-10-15,2,鈴木,確休,,,,,,
2023-10-15,1,田中a,確休,,,,,,
2023-10-14,2,鈴木,確休,,,,,,
2023-10-14,1,田中a,確休,,,,,,
2023-10-13,2,鈴木,在宅,,,,,,
2023-10-13,1,田中a,在宅,,,,,,
2023-10-12,2,鈴木,在宅,,,,,,
2023-10-12,1,田中a,在宅,,,,,,
2023-10-11,2,鈴木,在宅,,,,,,
2023-10-11,1,田中a,在宅,,,,,,
2023-10-10,2,鈴木,在宅,,,,,,
2023-10-10,1,田中a,在宅,,,,,,
2023-10-09,2,鈴木,確休,,,,,,
2023-10-09,1,田中a,確休,,,,,,
2023-10-08,2,鈴木,確休,,,,,,
2023-10-08,1,田中a,確休,,,,,,
2023-10-07,2,鈴木,確休,,,,,,
2023-10-07,1,田中a,確休,,,,,,
2023-10-06,2,鈴木,在宅,,,,,,
2023-10-06,1,田中a,在宅,,,,,,
2023-10-05,2,鈴木,在宅,,,,,,
2023-10-05,1,田中a,在宅,,,,,,
2023-10-04,2,鈴木,在宅,,,,,,
2023-10-04,1,田中a,在宅,,,,,,
2023-10-03,2,鈴木,在宅,,,,,,
2023-10-03,1,田中a,在宅,,,,,,
2023-10-02,2,鈴木,在宅,,,,,,
2023-10-02,1,田中a,在宅,,,,,,
2023-10-01,2,鈴木,確休,,,,,,
2023-10-01,1,田中a,確休,,,,,,
