日付,利用者ID,名前,シフト,出勤,遅刻,出勤時報告,退勤,退勤時報告
2024-04-01,1,田中,出勤,,,,,,
2024-04-02,1,田中,出勤,,,,,,
2024-04-03,1,田中,出勤,,,,,,
2024-04-04,1,田中,出勤,,,,,,
2024-04-05,1,田中,出勤,,,,,,
2024-04-06,1,田中,出勤,,,,,,
2024-04-07,1,田中,出勤,,,,,,
2024-04-08,1,田中,出勤,,,,,,
2024-04-09,1,田中,出勤,,,,,,
2024-04-10,1,田中,出勤,,,,,,
2024-04-11,1,田中,出勤,,,,,,
2024-04-12,1,田中,出勤,,,,,,
2024-04-13,1,田中,出勤,,,,,,
2024-04-14,1,田中,出勤,,,,,,
2024-04-15,1,田中,出勤,,,,,,
2024-04-16,1,田中,出勤,,,,,,
2024-04-17,1,田中,出勤,OK,14:44:08,おはようございます。,OK,お疲れ様です。,
2024-04-18,1,田中,出勤,OK,13:47:24,おはようございます。,OK,お疲れ様です。,
2024-04-19,1,田中,出勤,,,,,,
2024-04-20,1,田中,出勤,,,,,,
2024-04-21,1,田中,出勤,,,,,,
2024-04-22,1,田中,出勤,,,,,,
2024-04-23,1,田中,出勤,,,,,,
2024-04-24,1,田中,出勤,,,,,,
2024-04-25,1,田中,出勤,,,,,,
2024-04-26,1,田中,出勤,,,,,,
2024-04-27,1,田中,出勤,,,,,,
2024-04-28,1,田中,出勤,,,,,,
2024-04-29,1,田中,出勤,,,,,,
2024-04-30,1,田中,出勤,,,,,,
